ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster,database,category,subcategory
GO:0009451,RNA modification,37/730,40/1745,0.925,2.2111301369863012,6.569922766707892,1.2596464227091915e-11,1.4495623449022696e-9,1.4495623449022696e-9,TYW3/DKC1/METTL2B/TRMT61A/SARS1/FTSJ3/TYW1/TYW2/DIMT1/METTL1/TRUB2/PUS7/DUS1L/TGS1/SPOUT1/NOP2/NOP58/ALKBH8/TFB2M/YRDC/FASTKD2/WDR4/MOCS3/CTU2/TRMT1/FTSJ1/HNRNPAB/QTRT2/DPH3/TRDMT1/PUS1/EMG1/SYNCRIP/FDXACB1/NOP56/LCMT2/NSUN2,37,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0006412,translation,58/730,74/1745,0.7837837837837838,1.8735653461680861,6.510654984683313,6.557870105363876e-11,6.540382451749573e-9,6.540382451749573e-9,OTUD6B/TARS1/SARS1/MRPS10/PUM3/EIF2S1/EIF1AX/MARS1/MRPL32/MRPL50/DNAJC3/TSFM/IFRD2/MRPS17/TRUB2/PUS7/SERBP1/RNF25/GFM1/GARS1/SMYD5/BZW2/EIF3B/PRMT1/ELAC1/FASTKD2/NGRN/JMJD4/QRSL1/EIF3J/NOLC1/MRPS7/ABCE1/MRPS23/FASTKD3/FTSJ1/MPV17L2/IARS1/LARS1/DHX29/MAPKAPK5/EIF2B3/MRPS25/EIF2B1/SECISBP2/EIF4E/LTO1/MARS2/SYNCRIP/DHX9/NARS1/RBM8A/EIF2B5/MRPL20/LARP4/EIF5A2/AIMP2/MRPS30,58,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0160307,protein biosynthetic process,58/730,74/1745,0.7837837837837838,1.8735653461680861,6.510654984683313,6.557870105363876e-11,6.540382451749573e-9,6.540382451749573e-9,OTUD6B/TARS1/SARS1/MRPS10/PUM3/EIF2S1/EIF1AX/MARS1/MRPL32/MRPL50/DNAJC3/TSFM/IFRD2/MRPS17/TRUB2/PUS7/SERBP1/RNF25/GFM1/GARS1/SMYD5/BZW2/EIF3B/PRMT1/ELAC1/FASTKD2/NGRN/JMJD4/QRSL1/EIF3J/NOLC1/MRPS7/ABCE1/MRPS23/FASTKD3/FTSJ1/MPV17L2/IARS1/LARS1/DHX29/MAPKAPK5/EIF2B3/MRPS25/EIF2B1/SECISBP2/EIF4E/LTO1/MARS2/SYNCRIP/DHX9/NARS1/RBM8A/EIF2B5/MRPL20/LARP4/EIF5A2/AIMP2/MRPS30,58,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0008033,tRNA processing,29/730,30/1745,0.9666666666666667,2.310730593607306,6.139650516461025,1.3807166021287314e-10,1.290970022990364e-8,1.290970022990364e-8,TYW3/METTL2B/TRMT61A/SARS1/RPP40/TYW1/TYW2/RPP25/METTL1/TRUB2/PUS7/DUS1L/ALKBH8/ELAC1/YRDC/WDR4/MOCS3/CTU2/TRMT1/TSEN2/FTSJ1/TSEN15/POP5/QTRT2/DPH3/TRDMT1/PUS1/LCMT2/NSUN2,29,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0140053,mitochondrial gene expression,25/730,25/1745,1,2.390410958904109,5.936775307461973,2.7082790025254495e-10,2.3832855222223957e-8,2.3832855222223953e-8,MRPS10/MRPL32/MRPL50/TSFM/MRPS17/TRUB2/GFM1/GARS1/TFB2M/YRDC/FASTKD2/NGRN/QRSL1/SLC25A33/MRPS7/MRPS23/FASTKD3/MPV17L2/PUS1/PNPT1/TWNK/PRKAA1/MRPS25/MRPL20/MRPS30,25,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0001510,RNA methylation,23/730,23/1745,1,2.3904109589041096,5.691047046274047,1.6079898580528883e-9,1.336418237581734e-7,1.336418237581734e-7,TYW3/METTL2B/TRMT61A/SARS1/FTSJ3/TYW2/DIMT1/METTL1/TGS1/SPOUT1/NOP2/NOP58/ALKBH8/TFB2M/WDR4/TRMT1/FTSJ1/TRDMT1/EMG1/FDXACB1/NOP56/LCMT2/NSUN2,23,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0043414,macromolecule methylation,25/730,26/1745,0.9615384615384616,2.298472075869336,5.65565617241678,4.266326719385304e-9,3.359170932737061e-7,3.359170932737061e-7,TYW3/METTL2B/TRMT61A/SARS1/FTSJ3/TYW2/DIMT1/METTL1/TGS1/SPOUT1/SETD6/NOP2/NOP58/ALKBH8/TFB2M/PRMT1/WDR4/TRMT1/FTSJ1/TRDMT1/EMG1/FDXACB1/NOP56/LCMT2/NSUN2,25,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0006400,tRNA modification,23/730,24/1745,0.9583333333333334,2.2908105022831053,5.398577311675499,2.340736455970486e-8,1.7508708690659234e-6,1.7508708690659232e-6,TYW3/METTL2B/TRMT61A/SARS1/TYW1/TYW2/METTL1/TRUB2/PUS7/DUS1L/ALKBH8/YRDC/WDR4/MOCS3/CTU2/TRMT1/FTSJ1/QTRT2/DPH3/TRDMT1/PUS1/LCMT2/NSUN2,23,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0032259,methylation,31/730,36/1745,0.8611111111111112,2.0584094368340944,5.440459374523181,3.87563273432576e-8,2.6656107408816333e-6,2.6656107408816333e-6,TYW3/METTL2B/TRMT61A/SARS1/FTSJ3/TYW2/RRP8/DIMT1/METTL1/PRDM8/TGS1/SPOUT1/SETD6/NOP2/SMYD5/NOP58/ALKBH8/TFB2M/PRMT1/SETD4/PRMT6/WDR4/TRMT1/FTSJ1/TRDMT1/PRDM11/EMG1/FDXACB1/NOP56/LCMT2/NSUN2,31,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0022618,protein-RNA complex assembly,27/730,30/1745,0.9,2.1513698630136986,5.393181946440158,4.098198331569356e-8,2.6656107408816333e-6,2.6656107408816333e-6,LUC7L/MRTO4/BOP1/DDX28/PRPF3/RPF2/TGS1/NOP2/DDX20/EIF3B/FASTKD2/ZNHIT6/SHQ1/DHX30/EIF3J/NOPCHAP1/DHX29/MDN1/RRP7A/TSSC4/SRSF6/GCFC2/RRS1/SYNCRIP/WDR77/DHX9/AAR2,27,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0071826,protein-RNA complex organization,27/730,30/1745,0.9,2.1513698630136986,5.393181946440158,4.098198331569356e-8,2.6656107408816333e-6,2.6656107408816333e-6,LUC7L/MRTO4/BOP1/DDX28/PRPF3/RPF2/TGS1/NOP2/DDX20/EIF3B/FASTKD2/ZNHIT6/SHQ1/DHX30/EIF3J/NOPCHAP1/DHX29/MDN1/RRP7A/TSSC4/SRSF6/GCFC2/RRS1/SYNCRIP/WDR77/DHX9/AAR2,27,C2_Repressed Quiescence,GO_BP,NA,NA
GO:0032543,mitochondrial translation,18/730,18/1745,1,2.3904109589041096,5.027301307630738,1.3612586001778452e-7,8.485178607775235e-6,8.485178607775235e-6,MRPS10/MRPL32/MRPL50/TSFM/MRPS17/TRUB2/GFM1/GARS1/FASTKD2/NGRN/QRSL1/MRPS7/MRPS23/FASTKD3/MPV17L2/MRPS25/MRPL20/MRPS30,18,C2_Repressed Quiescence,GO_BP,NA,NA
